,Labels
813,0
814,1
815,0
816,1
817,1
818,0
819,0
820,1
821,0
822,0
823,0
824,0
825,1
826,1
827,1
828,0
829,0
830,1
831,1
832,0
833,1
834,0
835,1
836,1
837,0
838,1
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,1
847,1
848,1
849,1
850,1
851,0
852,1
853,1
854,0
855,0
856,0
857,0
858,1
859,1
860,0
861,0
862,0
863,1
864,0
865,1
866,1
867,0
868,1
869,1
870,0
871,1
872,0
873,0
874,0
875,0
876,1
877,0
878,1
879,1
880,1
881,0
882,0
883,1
884,1
885,0
886,1
887,0
888,1
889,1
890,0
891,1
892,1
893,1
894,0
895,0
896,1
897,1
898,0
899,0
900,0
901,1
902,0
903,0
904,1
905,1
906,1
907,0
908,1
909,0
910,0
911,0
912,1
913,0
914,1
915,0
916,0
917,1
918,1
919,0
920,1
921,0
922,1
923,0
924,0
925,0
926,1
927,1
928,1
929,0
930,0
931,0
932,1
933,1
934,0
935,0
936,0
937,0
938,0
939,0
940,1
941,1
942,0
943,0
944,1
945,0
946,1
947,1
948,1
949,0
950,1
951,0
952,1
953,1
954,1
955,0
956,1
957,1
958,1
959,0
960,0
961,0
962,0
963,1
964,0
965,1
966,0
967,0
968,1
969,1
970,0
971,0
972,0
973,0
974,1
975,0
976,1
977,0
978,0
979,0
980,0
981,1
982,0
983,0
984,1
985,1
986,1
987,0
988,0
989,1
990,0
991,0
992,1
993,1
994,0
995,0
996,1
997,1
998,1
999,1
1000,0
1001,0
1002,1
1003,0
1004,1
1005,1
1006,0
1007,1
1008,0
1009,1
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,1
1018,0
1019,1
1020,1
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,1
1030,1
1031,1
1032,0
1033,1
1034,0
1035,0
1036,1
1037,1
1038,1
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,1
1047,0
1048,0
1049,0
1050,0
1051,1
1052,1
1053,1
1054,0
1055,0
1056,1
1057,1
1058,0
1059,1
1060,0
1061,1
1062,1
1063,1
1064,1
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,1
1075,1
1076,1
1077,0
1078,1
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,1
1086,1
1087,1
1088,0
1089,0
1090,1
1091,0
1092,0
1093,0
1094,1
1095,1
1096,1
1097,0
1098,1
1099,0
1100,0
1101,1
1102,1
1103,1
1104,1
1105,0
1106,0
1107,0
1108,1
1109,0
1110,0
1111,1
1112,0
1113,0
1114,0
1115,1
1116,0
1117,1
1118,0
1119,0
1120,0
1121,0
1122,0
1123,1
1124,0
1125,1
1126,1
1127,1
1128,1
1129,0
1130,1
1131,0
1132,1
1133,0
1134,0
1135,1
1136,1
1137,0
1138,0
1139,0
1140,1
1141,0
1142,0
1143,0
1144,1
1145,1
1146,1
1147,0
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,0
1157,0
1158,1
1159,1
1160,0
1161,1
1162,0
1163,1
1164,1
1165,0
1166,1
1167,1
1168,0
1169,0
1170,0
1171,1
1172,1
1173,0
1174,1
1175,1
1176,1
1177,0
1178,1
1179,0
1180,0
1181,1
1182,0
1183,1
1184,1
1185,0
1186,1
1187,0
1188,0
1189,1
1190,1
1191,0
1192,0
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,0
1200,1
1201,1
1202,0
1203,0
1204,0
1205,1
1206,1
1207,0
1208,0
1209,1
1210,1
1211,1
1212,0
1213,1
1214,0
1215,1
1216,0
1217,1
1218,1
1219,1
1220,0
1221,0
1222,0
1223,1
1224,1
1225,1
1226,0
1227,0
1228,0
1229,0
1230,0
1231,1
1232,0
1233,0
1234,0
1235,0
1236,1
1237,0
1238,1
1239,0
1240,0
1241,0
1242,1
1243,1
1244,0
1245,0
1246,1
1247,1
1248,1
1249,0
1250,1
1251,1
1252,0
1253,0
1254,1
1255,1
1256,1
1257,1
1258,0
1259,1
1260,0
1261,0
1262,0
1263,0
1264,0
1265,1
1266,0
1267,1
1268,1
1269,1
1270,1
1271,1
1272,1
1273,1
1274,0
1275,1
1276,0
1277,0
1278,0
1279,1
1280,1
1281,0
1282,1
1283,1
1284,0
1285,0
1286,0
1287,1
1288,1
1289,0
1290,1
1291,0
1292,0
1293,0
1294,0
1295,0
1296,1
1297,0
1298,0
1299,1
1300,1
1301,0
1302,0
1303,0
1304,0
1305,1
1306,0
1307,0
1308,1
1309,1
1310,0
1311,1
1312,0
1313,1
1314,0
1315,0
1316,0
1317,1
1318,1
1319,1
1320,1
1321,1
1322,0
1323,1
1324,0
1325,0
1326,1
1327,1
1328,0
1329,1
1330,1
1331,0
1332,0
1333,1
1334,0
1335,0
1336,0
1337,1
1338,1
1339,0
1340,1
1341,1
1342,0
1343,0
1344,1
1345,1
1346,0
1347,0
1348,0
1349,1
1350,1
1351,0
1352,0
1353,1
1354,0
1355,1
1356,0
1357,0
1358,0
1359,1
1360,0
1361,0
1362,1
1363,1
1364,1
1365,1
1366,0
1367,1
1368,0
1369,0
1370,1
1371,1
1372,0
1373,0
1374,1
1375,0
1376,0
1377,0
1378,0
1379,1
1380,0
1381,1
1382,0
1383,1
1384,1
1385,1
1386,1
1387,0
1388,0
1389,0
1390,0
1391,1
1392,1
1393,0
1394,0
1395,0
1396,0
1397,1
1398,0
1399,0
1400,0
1401,1
1402,0
1403,0
1404,1
1405,1
1406,0
1407,1
1408,1
1409,1
1410,0
1411,0
1412,1
1413,0
1414,1
1415,1
1416,1
1417,1
1418,0
1419,0
1420,0
1421,1
1422,0
1423,1
1424,1
1425,1
1426,1
1427,1
1428,0
1429,1
1430,0
1431,1
1432,0
1433,0
1434,0
1435,1
1436,1
1437,0
1438,1
1439,1
1440,0
1441,1
1442,1
1443,1
1444,0
1445,0
1446,1
1447,0
1448,0
1449,0
1450,1
1451,1
1452,0
1453,0
1454,0
1455,0
1456,1
1457,1
1458,1
1459,1
1460,1
1461,1
1462,0
1463,1
1464,0
1465,1
1466,0
1467,0
1468,1
1469,1
1470,1
1471,0
1472,0
1473,1
1474,1
1475,1
1476,1
1477,0
1478,0
1479,1
1480,1
1481,1
1482,1
1483,0
1484,1
1485,0
1486,0
1487,1
1488,0
1489,0
1490,0
1491,1
1492,1
1493,1
1494,0
1495,0
1496,1
1497,1
1498,1
1499,1
1500,0
1501,0
1502,0
1503,0
1504,1
1505,0
1506,1
1507,1
1508,0
1509,1
1510,1
1511,1
1512,0
1513,0
1514,0
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1521,1
1522,1
1523,1
1524,1
1525,1
1526,1
1527,1
1528,0
1529,1
1530,0
1531,1
1532,1
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,1
1542,1
1543,1
1544,1
1545,0
1546,1
1547,1
1548,0
1549,1
1550,1
1551,1
1552,1
1553,1
1554,0
1555,0
1556,0
1557,0
1558,1
1559,0
1560,1
1561,1
1562,1
1563,1
1564,1
1565,0
1566,0
1567,1
1568,0
1569,0
1570,1
1571,1
1572,1
1573,0
1574,0
1575,1
1576,0
1577,1
1578,1
1579,1
1580,1
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,1
1588,1
1589,1
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1596,1
1597,0
1598,0
1599,0
1600,1
1601,0
1602,0
1603,0
1604,0
1605,1
1606,1
1607,0
1608,0
1609,1
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,0
1621,1
1622,0
1623,0
1624,1
1625,0
1626,1
1627,1
1628,0
1629,0
1630,1
1631,0
1632,1
1633,0
1634,1
1635,1
1636,0
1637,1
1638,1
1639,1
1640,0
1641,0
1642,1
1643,1
1644,0
1645,1
1646,1
1647,0
1648,1
1649,1
1650,0
1651,1
1652,0
1653,1
1654,0
1655,1
1656,0
1657,1
1658,0
1659,0
1660,0
1661,1
1662,0
1663,0
1664,1
1665,0
1666,1
1667,1
1668,1
1669,1
1670,1
1671,0
1672,1
1673,1
1674,0
1675,1
1676,0
1677,0
1678,0
1679,0
1680,1
1681,0
1682,1
1683,1
1684,1
1685,1
1686,0
1687,1
1688,1
1689,1
1690,1
1691,0
1692,0
1693,0
1694,1
1695,0
1696,1
1697,1
1698,1
1699,1
1700,0
1701,1
1702,1
1703,1
1704,1
1705,0
1706,0
1707,0
1708,0
1709,0
1710,1
1711,0
1712,0
1713,0
1714,0
1715,1
1716,0
1717,1
1718,0
1719,1
1720,0
1721,0
1722,0
1723,0
1724,0
1725,1
1726,0
1727,0
1728,1
1729,0
1730,0
1731,1
1732,0
1733,1
1734,0
1735,1
1736,0
1737,1
1738,1
1739,1
1740,0
1741,0
1742,1
1743,0
1744,1
1745,0
1746,0
1747,1
1748,1
1749,1
1750,1
1751,1
1752,1
1753,1
1754,1
1755,0
1756,0
1757,0
1758,1
1759,0
1760,1
1761,0
1762,0
1763,0
1764,0
1765,1
1766,0
1767,1
1768,1
1769,0
1770,0
1771,1
1772,1
1773,1
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,1
1782,1
1783,0
1784,0
1785,1
1786,0
1787,0
1788,1
1789,1
1790,1
1791,1
1792,0
1793,0
1794,0
1795,1
1796,0
1797,0
1798,1
1799,1
1800,1
1801,1
1802,0
1803,0
1804,0
1805,1
1806,1
1807,0
1808,1
1809,0
1810,0
1811,0
1812,1
1813,1
1814,1
1815,1
1816,1
1817,1
1818,0
1819,1
1820,0
1821,1
1822,0
1823,1
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,1
1831,1
1832,0
1833,0
1834,1
1835,0
1836,0
1837,0
1838,1
1839,1
1840,0
1841,0
1842,0
1843,1
1844,0
1845,0
1846,1
1847,1
1848,0
1849,0
1850,1
1851,0
1852,0
1853,0
1854,0
1855,0
1856,1
1857,0
1858,1
1859,0
1860,1
1861,0
1862,0
1863,0
1864,0
1865,0
1866,1
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,1
1877,1
1878,0
1879,0
1880,1
1881,0
1882,0
1883,1
1884,1
1885,1
1886,0
1887,0
1888,1
1889,0
1890,1
1891,0
1892,0
1893,0
1894,1
1895,0
1896,0
1897,0
1898,1
1899,0
1900,1
1901,1
1902,0
1903,0
1904,0
1905,0
1906,0
1907,1
1908,1
1909,1
1910,0
1911,1
1912,1
1913,0
1914,1
1915,0
1916,1
1917,0
1918,1
1919,0
1920,1
1921,1
1922,1
1923,1
1924,1
1925,1
1926,0
1927,1
1928,0
1929,0
1930,0
1931,0
1932,1
1933,0
1934,0
1935,0
1936,1
1937,0
1938,1
1939,1
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,1
1952,0
1953,0
1954,1
1955,0
1956,1
1957,1
1958,0
1959,1
1960,0
1961,0
1962,1
1963,1
1964,1
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,1
1972,1
1973,0
1974,1
1975,1
1976,1
1977,0
1978,0
1979,1
1980,1
1981,0
1982,0
1983,0
1984,0
1985,0
1986,1
1987,0
1988,1
1989,0
1990,0
1991,0
1992,0
1993,1
1994,1
1995,1
1996,0
1997,1
1998,1
1999,1
2000,1
2001,0
2002,1
2003,1
2004,1
2005,1
2006,0
2007,0
2008,1
2009,0
2010,1
2011,1
2012,1
2013,0
2014,0
2015,1
2016,1
2017,0
2018,0
2019,0
2020,1
2021,0
2022,0
2023,1
2024,1
2025,1
2026,1
2027,0
2028,1
2029,1
2030,1
2031,1
2032,0
2033,0
2034,0
2035,1
2036,1
2037,0
2038,1
2039,0
2040,1
2041,0
2042,0
2043,0
2044,0
2045,0
2046,1
2047,0
2048,1
2049,1
2050,1
2051,0
2052,1
2053,1
2054,0
2055,0
2056,1
2057,1
2058,1
2059,0
2060,0
2061,1
2062,1
2063,0
2064,0
2065,1
2066,1
2067,0
2068,1
2069,1
2070,1
2071,1
2072,1
2073,0
2074,0
2075,0
2076,0
2077,0
2078,1
2079,1
2080,0
2081,1
2082,0
2083,1
2084,0
2085,0
2086,1
2087,0
2088,1
2089,1
2090,0
2091,0
2092,1
2093,0
2094,1
2095,0
2096,0
2097,0
2098,1
2099,0
2100,0
2101,0
2102,1
2103,0
2104,1
2105,1
2106,1
2107,1
2108,0
2109,1
2110,0
2111,0
2112,1
2113,1
2114,0
2115,1
2116,1
2117,0
2118,1
2119,1
2120,0
2121,1
2122,1
2123,1
2124,1
2125,0
2126,1
2127,0
2128,1
2129,1
2130,1
2131,0
2132,1
2133,1
2134,1
2135,1
2136,1
2137,1
2138,1
2139,0
2140,0
2141,1
2142,1
2143,1
2144,1
2145,0
2146,1
2147,1
2148,0
2149,1
2150,1
2151,1
2152,0
2153,1
2154,0
2155,0
2156,1
2157,0
2158,1
2159,0
2160,0
2161,1
2162,1
2163,1
2164,0
2165,1
2166,1
2167,1
2168,0
2169,0
2170,0
2171,0
2172,1
2173,1
2174,1
2175,0
2176,0
2177,1
2178,0
2179,1
2180,1
2181,1
2182,1
2183,0
2184,0
2185,1
2186,0
2187,1
2188,0
2189,0
2190,0
2191,0
2192,0
2193,1
2194,1
2195,1
2196,0
2197,1
2198,1
2199,1
2200,1
2201,1
2202,1
2203,0
2204,0
2205,0
2206,1
2207,0
2208,1
2209,0
2210,1
2211,0
2212,0
2213,0
2214,1
2215,1
2216,0
2217,0
2218,1
2219,0
2220,1
2221,0
2222,1
2223,0
2224,1
2225,0
2226,1
2227,0
2228,1
2229,0
2230,1
2231,0
2232,0
2233,0
2234,0
2235,1
2236,1
2237,0
2238,1
2239,1
2240,1
2241,1
2242,0
2243,1
2244,1
2245,1
2246,0
2247,0
2248,0
2249,1
2250,0
2251,1
2252,1
2253,1
2254,0
2255,0
2256,0
2257,1
2258,1
2259,0
2260,0
2261,1
2262,1
2263,1
2264,1
2265,1
2266,1
2267,1
2268,0
2269,0
2270,1
2271,0
2272,0
2273,1
2274,0
2275,0
2276,1
2277,0
2278,0
2279,0
2280,1
2281,0
2282,0
2283,1
2284,1
2285,0
2286,0
2287,0
2288,1
2289,1
2290,0
2291,1
2292,1
2293,1
2294,0
2295,1
2296,0
2297,0
2298,0
2299,1
2300,1
2301,0
2302,1
2303,1
2304,1
2305,0
2306,0
2307,0
2308,1
2309,1
2310,0
2311,1
2312,0
2313,1
2314,0
2315,1
2316,1
2317,1
2318,1
2319,0
2320,1
2321,0
2322,0
2323,1
2324,0
2325,1
2326,1
2327,0
2328,1
2329,1
2330,1
2331,0
2332,0
2333,0
2334,1
2335,0
2336,0
2337,1
2338,1
2339,1
2340,0
2341,0
2342,1
2343,0
2344,1
2345,0
2346,0
2347,0
2348,0
2349,0
2350,0
2351,1
2352,0
2353,0
2354,0
2355,1
2356,1
2357,1
2358,0
2359,0
2360,1
2361,0
2362,1
2363,0
2364,1
2365,1
2366,1
2367,0
2368,1
2369,0
2370,0
2371,0
2372,1
2373,1
2374,0
2375,1
2376,1
2377,1
2378,0
2379,0
2380,0
2381,1
2382,1
2383,0
2384,1
2385,0
2386,1
2387,1
2388,0
2389,0
2390,0
2391,0
2392,0
2393,0
2394,1
2395,0
2396,1
2397,1
2398,0
2399,0
2400,1
2401,1
2402,0
2403,1
2404,0
2405,1
2406,0
2407,0
2408,1
2409,1
2410,1
2411,1
2412,0
2413,0
2414,1
2415,1
2416,0
2417,1
2418,1
2419,0
2420,0
2421,1
2422,1
2423,1
2424,1
2425,0
2426,1
2427,1
2428,0
2429,0
2430,0
2431,0
2432,0
2433,0
2434,1
2435,1
2436,0
2437,1
2438,0
2439,0
2440,0
2441,1
2442,1
2443,0
2444,1
2445,1
2446,1
2447,1
2448,0
2449,0
2450,0
2451,0
2452,1
2453,1
2454,0
2455,1
2456,0
2457,1
2458,0
2459,0
2460,0
2461,0
2462,1
2463,0
2464,1
2465,1
2466,1
2467,0
2468,1
2469,1
2470,0
2471,0
2472,0
2473,1
2474,0
2475,1
2476,0
2477,0
2478,0
2479,0
2480,1
2481,0
2482,1
2483,1
2484,1
2485,0
2486,1
2487,1
2488,1
2489,1
2490,0
2491,0
2492,0
2493,1
2494,1
2495,1
2496,1
2497,1
2498,1
2499,1
2500,1
2501,0
2502,0
2503,0
2504,0
2505,1
2506,1
2507,0
2508,0
2509,0
2510,1
2511,0
2512,0
2513,0
2514,1
2515,0
2516,1
2517,1
2518,1
2519,0
2520,1
2521,1
2522,0
2523,1
2524,1
2525,1
2526,0
2527,1
2528,0
2529,0
2530,1
2531,1
2532,1
2533,0
2534,0
2535,0
2536,1
2537,0
2538,0
2539,1
2540,0
2541,0
2542,1
2543,1
2544,1
2545,1
2546,1
2547,1
2548,1
2549,1
2550,0
2551,0
2552,1
2553,0
2554,1
2555,1
2556,0
2557,1
2558,0
2559,1
2560,0
2561,0
2562,0
2563,1
2564,1
2565,1
2566,0
2567,1
2568,0
2569,1
2570,1
2571,1
2572,1
2573,0
2574,0
2575,1
2576,1
2577,0
2578,0
2579,1
2580,1
2581,0
2582,1
2583,0
2584,0
2585,0
2586,1
2587,1
2588,0
2589,0
2590,1
2591,1
2592,1
2593,0
2594,1
2595,1
2596,1
2597,1
2598,0
2599,0
2600,1
2601,1
2602,0
2603,1
2604,0
2605,0
2606,0
2607,0
2608,1
2609,1
2610,1
2611,1
2612,0
2613,1
2614,1
2615,1
2616,1
2617,0
2618,0
2619,0
2620,0
2621,1
2622,1
2623,1
2624,1
2625,0
2626,0
2627,0
2628,1
2629,0
2630,1
2631,1
2632,0
2633,0
2634,1
2635,0
2636,0
2637,1
2638,0
2639,1
2640,0
2641,0
2642,0
2643,1
2644,0
2645,1
2646,1
2647,1
2648,1
2649,1
2650,1
2651,1
2652,0
2653,0
2654,1
2655,0
2656,0
2657,0
2658,1
2659,0
2660,1
2661,1
2662,0
2663,1
2664,0
2665,1
2666,1
2667,1
2668,0
2669,1
2670,1
2671,0
2672,0
2673,1
2674,0
2675,0
2676,1
2677,1
2678,0
2679,0
2680,1
2681,0
2682,0
2683,1
2684,0
2685,0
2686,1
2687,0
2688,1
2689,1
2690,0
2691,0
2692,1
2693,1
2694,1
2695,1
2696,1
2697,1
2698,0
2699,1
2700,1
2701,1
2702,1
2703,0
2704,0
2705,0
2706,0
2707,0
2708,0
2709,0
2710,0
2711,1
2712,1
2713,0
2714,0
2715,1
2716,0
2717,0
2718,0
2719,0
2720,0
2721,0
2722,0
2723,1
2724,1
2725,0
2726,1
2727,0
2728,0
2729,0
2730,0
2731,1
2732,0
2733,0
2734,0
2735,0
2736,0
2737,1
2738,0
2739,1
2740,1
2741,0
2742,0
2743,0
2744,1
2745,0
2746,1
2747,1
2748,0
2749,1
2750,1
2751,1
2752,1
2753,0
2754,0
2755,0
2756,0
2757,1
2758,0
2759,0
2760,0
2761,0
2762,1
2763,1
2764,1
2765,0
2766,0
2767,0
2768,0
2769,1
2770,0
2771,1
2772,1
2773,1
2774,0
2775,1
2776,1
2777,0
2778,0
2779,0
2780,1
2781,0
2782,0
2783,0
2784,0
2785,0
2786,0
2787,0
2788,0
2789,1
2790,0
2791,0
2792,1
2793,0
2794,1
2795,0
2796,1
2797,0
2798,1
2799,1
2800,1
2801,0
2802,1
2803,1
2804,0
2805,1
2806,0
2807,0
2808,1
2809,0
2810,0
2811,1
2812,0
2813,0
2814,0
2815,1
2816,1
2817,1
2818,1
2819,0
2820,0
2821,1
2822,1
2823,1
2824,0
2825,0
2826,0
2827,0
2828,0
2829,0
2830,1
2831,1
2832,1
2833,1
2834,1
2835,0
2836,0
2837,0
2838,1
2839,0
2840,0
2841,0
2842,0
2843,1
2844,0
2845,0
2846,1
2847,0
2848,1
2849,0
2850,0
2851,1
2852,1
2853,1
2854,0
2855,0
2856,0
2857,1
2858,0
2859,0
2860,1
2861,0
2862,1
2863,0
2864,0
2865,0
2866,1
2867,0
2868,0
2869,1
2870,0
2871,0
2872,1
2873,0
2874,0
2875,1
2876,1
2877,1
2878,0
2879,1
2880,0
2881,0
2882,1
2883,1
2884,1
2885,0
2886,0
2887,1
2888,1
2889,0
2890,1
2891,0
2892,0
2893,0
2894,1
2895,0
2896,1
2897,1
2898,0
2899,1
2900,1
2901,1
2902,1
2903,0
2904,0
2905,1
2906,0
2907,1
2908,0
2909,1
2910,1
2911,1
2912,0
2913,1
2914,0
2915,0
2916,1
2917,1
2918,1
2919,1
2920,0
2921,1
2922,1
2923,0
2924,1
2925,1
2926,0
2927,1
2928,1
2929,0
2930,1
2931,1
2932,1
2933,1
2934,0
2935,0
2936,1
2937,1
2938,0
2939,0
2940,0
2941,0
2942,1
2943,1
2944,0
2945,1
2946,0
2947,0
2948,1
2949,1
2950,1
2951,0
2952,1
2953,1
2954,1
2955,1
2956,1
2957,0
2958,0
2959,1
2960,1
2961,1
2962,1
2963,1
2964,1
2965,1
2966,0
2967,0
2968,1
2969,1
2970,0
2971,1
2972,0
2973,0
2974,1
2975,1
2976,0
2977,1
2978,1
2979,0
2980,1
2981,0
2982,1
2983,1
2984,1
2985,1
2986,1
2987,1
2988,0
2989,1
2990,1
2991,0
2992,0
2993,1
2994,1
2995,1
2996,0
2997,0
